Time(ms),Raw_ADC,ENV_Value,RMS,MDF,MW_Amp,MW_Area,MW_Latency,MW_Valid,Marker
0,1863.2,33.6,0.0,130.8,0.0,0.0,0.0,0,
100,1863.0,33.4,0.0,130.8,0.0,0.0,0.0,0,
200,1863.4,33.5,0.0,130.8,0.0,0.0,0.0,0,
300,1863.9,33.8,0.0,130.8,0.0,0.0,0.0,0,
511,1863.6,33.6,0.0,240.1,0.0,0.0,0.0,0,
636,1862.7,34.8,0.0,240.1,0.0,0.0,0.0,0,
762,1863.5,164.5,0.0,240.1,1963.0,8449.3,2.5,1,
888,1859.2,301.5,0.0,238.2,2473.0,11334.3,2.5,1,
1012,1897.1,249.3,0.0,36.1,2352.0,9854.3,2.5,1,
1135,1825.1,198.0,0.0,25.5,2526.0,9755.3,2.5,1,
1258,1877.3,219.4,0.0,24.3,2511.0,9662.8,2.5,1,
1383,1875.1,44.3,0.0,34.9,2466.0,9891.0,2.8,1,
1508,1872.2,34.9,0.0,28.6,2466.0,9891.0,2.8,1,
1636,1859.3,36.7,169.3,35.1,2466.0,9891.0,2.8,1,
1761,1862.4,36.0,169.3,237.6,2466.0,9891.0,2.8,1,
1885,1863.0,34.4,169.3,240.1,2466.0,9891.0,2.8,1,
2008,1862.9,38.0,169.3,240.1,2466.0,9891.0,2.8,1,
2134,1863.3,33.5,169.4,240.1,2466.0,9891.0,2.8,1,
2259,1862.8,33.1,169.4,240.1,2466.0,9891.0,2.8,1,
2385,1861.8,291.5,169.4,240.1,1985.0,8451.8,2.5,1,
2510,1880.2,161.7,177.9,104.4,2381.0,10197.0,2.8,1,
2762,1874.8,238.5,158.5,29.3,2405.0,8868.3,2.5,1,
2889,1873.7,231.7,164.9,29.8,2246.0,8674.0,2.8,1,
3014,1877.0,40.7,162.6,30.0,2216.0,8753.8,2.5,1,
3139,1883.9,35.3,162.4,27.2,2216.0,8753.8,2.5,1,
3263,1859.0,35.1,162.4,34.9,2216.0,8753.8,2.5,1,
3386,1861.3,35.2,162.4,239.3,2216.0,8753.8,2.5,1,
3513,1863.7,34.3,162.4,240.1,2216.0,8753.8,2.5,1,
3638,1864.1,33.3,162.3,240.1,2216.0,8753.8,2.5,1,
3763,1862.8,34.5,162.3,240.1,2216.0,8753.8,2.5,1,
4016,1863.2,221.6,162.3,240.1,1902.0,9246.3,2.5,1,
4143,1858.0,187.8,154.4,237.8,2393.0,9611.3,2.5,1,
4268,1881.6,190.0,163.9,28.9,2252.0,9050.0,3.0,1,
4393,1831.5,174.6,165.7,26.9,2327.0,9197.0,2.5,1,
4520,1876.3,263.8,156.1,24.3,2300.0,8902.8,2.3,1,
4645,1862.8,41.2,165.4,28.8,2300.0,8902.8,2.3,1,
4768,1881.6,35.2,165.4,35.9,2300.0,8902.8,2.3,1,
4893,1860.9,34.7,165.4,37.1,2300.0,8902.8,2.3,1,
5017,1863.4,33.9,165.4,46.5,2300.0,8902.8,2.3,1,
5270,1862.6,36.2,165.4,240.1,2300.0,8902.8,2.3,1,
5397,1862.0,32.2,165.4,240.1,2300.0,8902.8,2.3,1,
5522,1861.5,103.7,165.4,240.1,2300.0,8902.8,2.3,1,
5646,1862.2,170.3,166.8,240.1,2106.0,9529.8,2.5,1,
5771,1841.6,239.9,154.0,148.8,2337.0,9732.5,2.5,1,
5899,1874.0,248.0,147.3,27.3,2269.0,9344.8,2.5,1,
6024,1868.7,204.9,142.5,25.0,2220.0,8659.0,2.5,1,
6147,1842.0,196.2,151.7,25.6,2223.0,8268.0,2.5,1,
6270,1878.4,42.0,150.8,38.0,2223.0,8268.0,2.5,1,
6523,1861.7,34.8,150.9,30.0,2223.0,8268.0,2.5,1,
6650,1861.8,33.7,150.9,73.0,2223.0,8268.0,2.5,1,
6776,1862.5,36.2,150.9,240.1,2223.0,8268.0,2.5,1,
6899,1863.7,34.3,150.9,240.1,2223.0,8268.0,2.5,1,
7024,1864.2,37.8,150.9,240.1,2223.0,8268.0,2.5,1,
7149,1863.2,100.7,150.9,240.1,2223.0,8268.0,2.5,1,
7275,1862.7,250.6,150.1,240.1,2029.0,8954.3,2.8,1,
7401,1862.0,285.2,156.6,238.4,2228.0,9387.5,2.5,1,
7524,1834.8,227.8,169.3,37.0,2255.0,9203.5,2.8,1,
7776,1875.7,100.0,180.5,27.8,2311.0,9134.3,2.5,1,
7906,1853.9,36.2,167.7,29.3,2311.0,9134.3,2.5,1,
8031,1858.8,35.6,167.7,34.7,2311.0,9134.3,2.5,1,
8155,1862.0,34.2,167.7,137.0,2311.0,9134.3,2.5,1,
8279,1862.5,34.5,167.7,240.0,2311.0,9134.3,2.5,1,
8406,1862.4,34.3,167.7,240.1,2311.0,9134.3,2.5,1,
8531,1863.9,33.5,167.7,240.1,2311.0,9134.3,2.5,1,
8656,1863.1,34.0,167.7,240.1,2311.0,9134.3,2.5,1,
8781,1862.2,116.8,167.7,240.1,962.0,4735.8,2.8,1,
9033,1856.3,231.3,171.1,41.6,2302.0,9278.5,3.0,1,
9161,1876.5,219.0,156.6,27.9,2242.0,9193.3,2.5,1,
9286,1867.1,133.6,158.7,28.7,2303.0,9103.8,2.5,1,
9411,1875.2,84.9,148.9,29.3,2215.0,8852.5,2.5,1,
9534,1889.2,35.6,155.7,28.8,2215.0,8852.5,2.5,1,
9657,1859.2,36.4,155.7,28.1,2215.0,8852.5,2.5,1,
9782,1861.7,35.0,155.8,35.3,2215.0,8852.5,2.5,1,
9906,1862.0,34.6,155.7,239.5,2215.0,8852.5,2.5,1,
10031,1863.7,35.0,155.7,240.1,2215.0,8852.5,2.5,1,
10283,1863.6,34.7,155.7,240.1,2215.0,8852.5,2.5,1,
10411,1862.7,290.9,155.7,240.1,1156.0,6203.0,3.3,1,
10537,1860.8,166.3,169.5,239.9,2299.0,10885.5,2.5,1,
10660,1872.2,212.1,160.6,40.7,2187.0,9213.0,2.8,1,
10785,1829.6,280.5,162.6,30.2,2301.0,9256.8,2.5,1,
10910,1882.4,208.8,171.7,35.0,2216.0,8749.0,2.5,1,
11034,1855.6,66.9,183.4,29.5,2203.0,8826.5,3.0,1,
11157,1887.1,36.8,181.1,25.6,2203.0,8826.5,3.0,1,
11280,1862.3,35.5,181.1,24.8,2203.0,8826.5,3.0,1,
11531,1863.1,34.2,181.1,240.0,2203.0,8826.5,3.0,1,
11660,1861.9,33.1,181.1,240.1,2203.0,8826.5,3.0,1,
11784,1864.0,35.1,181.1,240.1,2203.0,8826.5,3.0,1,
11907,1864.0,36.2,181.1,240.1,2203.0,8826.5,3.0,1,
12032,1864.3,97.5,181.0,240.1,1293.0,6451.8,3.5,1,
12159,1859.7,206.9,169.4,240.0,2388.0,10631.5,2.5,1,
12284,1853.2,202.4,170.3,37.5,2208.0,8552.3,3.3,1,
12409,1877.7,244.0,175.2,26.9,2291.0,9001.3,2.3,1,
12532,1852.6,127.7,175.3,23.7,2242.0,8802.0,2.8,1,
12783,1876.7,35.7,161.4,25.9,2242.0,8802.0,2.8,1,
12911,1873.4,35.1,161.5,29.6,2242.0,8802.0,2.8,1,
13035,1862.0,36.1,161.5,238.6,2242.0,8802.0,2.8,1,
13160,1862.3,34.4,161.5,240.1,2242.0,8802.0,2.8,1,
13285,1863.2,34.9,161.5,240.1,2242.0,8802.0,2.8,1,
13409,1863.6,35.0,161.5,240.1,2242.0,8802.0,2.8,1,
13532,1864.2,35.0,161.6,240.1,2242.0,8802.0,2.8,1,
13658,1862.5,139.3,161.6,240.1,1445.0,6759.8,2.8,1,
13784,1863.5,139.2,161.9,239.9,2346.0,10029.8,2.8,1,
14034,1880.7,281.4,146.3,25.8,2033.0,8415.0,2.5,1,
14160,1876.0,162.6,133.1,34.5,2045.0,8619.8,3.0,1,
14288,1857.9,51.3,134.9,34.7,2139.0,8676.8,2.8,1,
14414,1862.0,34.3,134.2,29.7,2139.0,8676.8,2.8,1,
14538,1860.9,35.8,134.1,35.7,2139.0,8676.8,2.8,1,
14662,1860.0,34.4,134.2,239.1,2139.0,8676.8,2.8,1,
14786,1862.3,35.2,134.2,240.1,2139.0,8676.8,2.8,1,rest_end
14909,1861.8,36.5,134.3,240.1,2139.0,8676.8,2.8,1,
15035,1863.5,35.4,134.2,240.1,2139.0,8676.8,2.8,1,
15288,1863.0,309.0,134.2,240.1,1572.0,8132.0,2.5,1,
15417,1848.8,315.5,144.7,239.9,2364.0,10915.3,2.5,1,
15542,1870.5,149.3,159.2,29.4,2290.0,8881.0,2.8,1,
15667,1864.3,200.5,156.6,26.3,2095.0,8471.8,2.5,1,
15792,1862.7,227.6,141.5,25.9,2134.0,8852.0,2.5,1,
15917,1876.4,49.4,155.4,34.3,2201.0,8840.3,2.8,1,
16042,1877.4,35.0,158.1,26.6,2201.0,8840.3,2.8,1,
16165,1860.8,35.8,158.1,25.3,2201.0,8840.3,2.8,1,
16288,1862.7,36.6,158.1,41.8,2201.0,8840.3,2.8,1,
16542,1863.7,34.7,158.1,240.1,2201.0,8840.3,2.8,1,
16671,1864.3,35.2,158.0,240.1,2201.0,8840.3,2.8,1,
16795,1862.0,34.8,158.1,240.1,2201.0,8840.3,2.8,1,
16922,1863.0,216.7,158.1,240.1,1872.0,9161.5,2.5,1,
17048,1858.9,246.5,156.7,239.4,2303.0,10213.8,2.5,1,
17173,1835.3,145.5,150.0,40.5,2244.0,8907.5,2.5,1,
17299,1880.4,178.6,152.3,26.4,2237.0,8618.0,2.5,1,
17424,1868.1,186.6,151.9,27.3,2186.0,8400.3,2.5,1,
17548,1880.8,42.6,144.3,27.7,2201.0,8713.3,2.5,1,
17799,1862.4,36.4,142.1,30.1,2201.0,8713.3,2.5,1,
17928,1861.6,36.5,142.1,238.8,2201.0,8713.3,2.5,1,
18052,1863.3,34.6,142.1,240.1,2201.0,8713.3,2.5,1,
18176,1863.4,35.8,142.2,240.1,2201.0,8713.3,2.5,1,
18301,1862.8,35.7,142.1,240.1,2201.0,8713.3,2.5,1,
18426,1864.0,35.9,142.2,240.1,2201.0,8713.3,2.5,1,
18551,1863.1,209.5,142.2,240.1,1802.0,9008.8,2.3,1,
18678,1848.0,152.8,139.8,239.5,2239.0,10144.0,2.5,1,
18802,1868.8,211.7,132.9,36.2,2278.0,8872.0,2.5,1,
19052,1850.6,294.3,147.3,34.5,2093.0,8594.3,2.5,1,
19180,1877.4,41.2,167.8,29.4,2235.0,8792.5,2.5,1,
19303,1879.9,36.2,167.7,26.4,2235.0,8792.5,2.5,1,
19426,1863.2,35.1,167.7,29.6,2235.0,8792.5,2.5,1,
19549,1862.4,36.8,167.6,44.2,2235.0,8792.5,2.5,1,
19674,1861.9,36.4,167.7,240.1,2235.0,8792.5,2.5,1,
19797,1863.2,35.3,167.7,240.1,2235.0,8792.5,2.5,1,
19924,1864.0,36.6,167.7,240.1,2235.0,8792.5,2.5,1,
20049,1862.4,36.9,167.7,240.1,2235.0,8792.5,2.5,1,
20303,1854.7,215.5,163.9,239.4,2263.0,10232.8,2.5,1,
