Time_ms,Stim_Index,Sample_Index,Drift_ms,Spike,P2P,Area,R,Valid,Sat_Win,Sat_Spike,MCU_State,Level,Marker,Samples
17606,1,17605,1.0,1498,1242,8602,5.7423,1,0,0,RUNNING,0,,1426;1179;1032;870;743;622;536;473;403;342;299;266;227;184
18536,2,18535,1.0,1224,1033,4257,3.4779,1,0,0,RUNNING,0,,-1009;-761;-552;-356;-209;-113;19;24;-91;-312;-343;-289;-155;24
18806,3,18805,1.0,1711,1039,23065,13.4804,1,1,0,RUNNING,0,,-1793;-1912;-1912;-1912;-1912;-1912;-1912;-1912;-1845;-1578;-1378;-1179;-1035;-873
19009,4,19008,1.0,2183,4095,25762,11.8012,1,1,1,RUNNING,0,,2183;2183;2183;2183;2183;2183;2004;1585;1301;1097;941;-1912;-1912;-1912
19119,5,19118,1.0,2183,1552,22909,10.4943,1,1,1,RUNNING,0,,2183;2183;2183;2183;2183;2183;2183;1736;1416;1205;1032;873;735;631
19386,6,19385,1.0,845,2296,10789,12.7680,1,1,0,RUNNING,0,,72;-912;102;125;-2;-184;226;-1096;-38;384;-1912;-1912;-1912;-1912
19583,7,19582,1.0,2183,1594,21992,10.0742,1,1,1,RUNNING,0,,2183;2183;2183;2183;2183;2183;1944;1560;1294;1091;931;798;687;589
19837,8,19836,1.0,1102,77,569,0.5163,0,0,0,RUNNING,0,,90;83;70;57;51;42;37;29;24;24;19;17;13;13
19871,9,19870,1.0,826,78,465,0.5630,0,0,0,RUNNING,0,,79;71;61;51;41;35;28;27;23;21;15;9;3;1
19903,10,19902,1.0,1064,123,706,0.6635,1,0,0,RUNNING,0,,131;113;94;83;60;53;42;33;25;24;19;13;8;8
19937,11,19936,1.0,1305,99,633,0.4851,1,0,0,RUNNING,0,,110;91;82;70;57;45;35;27;24;21;23;19;18;11
20153,12,20152,1.0,971,90,658,0.6777,1,0,0,RUNNING,0,,105;89;75;65;59;52;44;39;30;24;24;19;18;15
20398,13,20397,1.0,539,527,1338,2.4824,1,0,0,RUNNING,0,,150;144;119;101;87;74;61;56;46;40;32;27;24;-377
20430,14,20429,1.0,1025,1156,3398,3.3151,1,0,0,RUNNING,0,,-748;187;408;363;312;264;225;196;167;146;118;103;88;73
20463,15,20462,1.0,1138,1527,4546,3.9947,1,0,0,RUNNING,0,,-1032;-296;495;479;410;351;303;258;219;191;162;135;116;99
20496,16,20495,1.0,1187,1748,5454,4.5948,1,0,0,RUNNING,0,,-1189;-669;410;559;487;414;356;306;262;223;190;155;127;107
20530,17,20529,1.0,1118,1346,4012,3.5886,1,0,0,RUNNING,0,,-843;169;503;442;378;323;280;239;200;178;152;122;101;82
20564,18,20563,1.0,836,384,2135,2.5538,1,0,0,RUNNING,0,,-43;341;310;264;223;195;167;143;110;92;78;66;56;47
20597,19,20596,1.0,671,480,1691,2.5201,1,0,0,RUNNING,0,,-254;226;218;187;163;127;106;88;74;53;59;54;45;37
20631,20,20630,1.0,565,138,1082,1.9150,1,0,0,RUNNING,0,,151;162;135;114;93;81;68;57;51;45;39;35;27;24
20664,21,20663,1.0,507,113,854,1.6844,1,0,0,RUNNING,0,,24;134;117;99;87;76;65;56;49;39;35;27;25;21
20698,22,20697,1.0,581,146,1133,1.9501,1,0,0,RUNNING,0,,170;165;145;119;99;85;73;62;55;41;38;32;25;24
20731,23,20730,1.0,618,164,1295,2.0955,1,0,0,RUNNING,0,,150;191;167;145;118;101;87;73;62;56;45;40;33;27
20764,24,20763,1.0,645,256,1387,2.1504,1,0,0,RUNNING,0,,-40;216;197;169;146;120;103;88;72;62;55;47;41;31
20797,25,20796,1.0,715,632,1971,2.7566,1,0,0,RUNNING,0,,-398;222;234;202;173;149;120;104;88;76;62;56;49;38
20830,26,20829,1.0,781,938,2418,3.0960,1,0,0,RUNNING,0,,-658;122;280;247;209;183;152;125;110;90;77;67;56;42
20864,27,20863,1.0,801,496,2092,2.6117,1,0,0,RUNNING,0,,-194;302;280;243;206;177;152;123;107;83;71;57;50;47
20897,28,20896,1.0,833,822,2473,2.9688,1,0,0,RUNNING,0,,-523;253;299;258;218;184;152;126;106;90;83;71;59;51
20930,29,20929,1.0,839,1037,2619,3.1216,1,0,0,RUNNING,0,,-727;82;310;268;229;194;166;142;118;103;88;73;63;56
20964,30,20963,1.0,808,516,2096,2.5941,1,0,0,RUNNING,0,,-234;282;270;232;198;167;151;125;104;88;75;66;55;49
20997,31,20996,1.0,725,689,2018,2.7834,1,0,0,RUNNING,0,,-456;218;233;201;170;150;120;103;88;73;63;56;47;40
21031,32,21030,1.0,449,110,883,1.9666,1,0,0,RUNNING,0,,94;132;115;98;82;71;60;53;43;37;29;24;23;22
21107,33,21106,1.0,529,894,1066,2.0151,1,0,0,RUNNING,0,,42;38;28;24;20;15;11;7;5;5;2;9;8;-852
21155,34,21154,1.0,556,96,658,1.1835,1,0,0,RUNNING,0,,109;90;82;67;56;51;42;34;29;25;23;22;15;13
21189,35,21188,1.0,678,90,621,0.9159,1,0,0,RUNNING,0,,103;88;73;61;56;45;41;34;27;24;22;19;15;13
21222,36,21221,1.0,1270,96,613,0.4827,1,0,0,RUNNING,0,,103;90;78;65;56;49;40;34;27;24;22;10;8;7
21274,37,21273,1.0,696,876,1149,1.6509,1,0,0,RUNNING,0,,56;47;39;36;29;24;23;18;17;13;10;9;8;-820
21322,38,21321,1.0,586,92,620,1.0580,1,0,0,RUNNING,0,,103;88;73;59;54;40;42;35;29;25;23;23;15;11
21356,39,21355,1.0,467,79,576,1.2334,0,0,0,RUNNING,0,,90;76;72;61;54;45;34;31;25;24;21;17;15;11
21389,40,21388,1.0,1033,90,629,0.6089,1,0,0,RUNNING,0,,103;88;75;65;56;47;39;33;28;24;24;19;15;13
21422,41,21421,1.0,681,93,675,0.9912,1,0,0,RUNNING,0,,106;94;83;71;59;51;43;38;31;25;23;19;19;13
21474,42,21473,1.0,650,1084,1339,2.0600,1,0,0,RUNNING,0,,47;40;35;34;26;24;21;19;14;11;13;9;9;-1037
21522,43,21521,1.0,702,100,653,0.9302,1,0,0,RUNNING,0,,107;95;83;70;58;53;43;37;29;25;24;13;9;7
21556,44,21555,1.0,639,92,590,0.9233,1,0,0,RUNNING,0,,103;88;74;63;55;49;41;25;22;18;11;15;14;12
21589,45,21588,1.0,999,94,604,0.6046,1,0,0,RUNNING,0,,107;88;77;63;52;41;34;26;23;24;23;18;15;13
21656,46,21655,1.0,709,81,597,0.8420,1,0,0,RUNNING,0,,92;78;74;62;55;47;39;34;27;24;21;18;15;11
21689,47,21688,1.0,1401,92,646,0.4611,1,0,0,RUNNING,0,,106;91;81;67;56;47;38;35;27;24;23;21;16;14
21722,48,21721,1.0,746,92,664,0.8901,1,0,0,RUNNING,0,,105;95;81;71;59;51;40;37;30;25;23;19;15;13
21756,49,21755,1.0,628,87,620,0.9873,1,0,0,RUNNING,0,,100;88;75;63;56;45;40;34;27;24;22;18;15;13
21789,50,21788,1.0,663,91,636,0.9593,1,0,0,RUNNING,0,,105;89;77;67;56;47;40;33;26;24;21;19;18;14
21841,51,21840,1.0,661,429,683,1.0333,1,0,0,RUNNING,0,,52;43;38;30;26;22;22;18;14;12;10;11;8;-377
21874,52,21873,1.0,545,550,865,1.5872,1,0,0,RUNNING,0,,62;56;46;38;34;26;24;23;19;15;13;11;10;-488
