Time_ms,Stim_Index,Sample_Index,Drift_ms,Spike,P2P,Area,R,Valid,Sat_Win,Sat_Spike,MCU_State,Level,Marker,Samples
3683,1,3683,0.0,1267,53,475,0.3749,0,0,0,RUNNING,0,,58;25;8;7;5;17;24;31;41;43;53;57;57;49
3777,2,3777,0.0,986,38,590,0.5984,0,0,0,RUNNING,0,,64;37;26;27;28;27;31;39;47;57;60;59;49;39
3902,3,3902,0.0,1281,71,616,0.4809,0,0,0,RUNNING,0,,59;15;4;10;19;27;41;57;64;74;75;69;58;44
3996,4,3996,0.0,918,53,626,0.6819,0,0,0,RUNNING,0,,74;32;21;25;26;37;47;58;60;64;59;47;44;32
4027,5,4027,0.0,795,71,733,0.9220,0,0,0,RUNNING,0,,90;35;21;27;39;49;67;84;84;74;63;48;33;19
4121,6,4121,0.0,1303,60,683,0.5242,0,0,0,RUNNING,0,,61;25;19;25;33;49;64;74;79;79;69;53;32;21
5247,7,5247,0.0,998,51,497,0.4980,0,0,0,RUNNING,0,,64;33;26;23;19;13;20;22;30;44;53;55;51;44
5372,8,5372,0.0,1113,38,537,0.4825,0,0,0,RUNNING,0,,64;33;26;26;30;32;38;42;46;44;44;40;39;33
5466,9,5466,0.0,1161,52,428,0.3686,0,0,0,RUNNING,0,,63;27;11;12;12;20;23;28;27;33;41;43;45;43
5591,10,5591,0.0,1133,54,661,0.5834,0,0,0,RUNNING,0,,79;35;25;31;36;47;60;64;67;61;52;46;32;26
5685,11,5685,0.0,1163,66,631,0.5426,0,0,0,RUNNING,0,,55;13;3;12;23;40;56;61;65;69;67;61;61;45
5716,12,5716,0.0,770,73,612,0.7948,0,0,0,RUNNING,0,,80;29;7;11;21;39;55;58;60;58;53;47;53;41
5779,13,5779,0.0,465,35,613,1.3183,0,0,0,RUNNING,0,,63;37;28;32;33;49;58;58;49;47;46;45;37;31
5810,14,5810,0.0,1181,110,743,0.6291,1,0,0,RUNNING,0,,84;31;19;27;41;61;83;95;101;91;63;36;2;-9
6842,15,6842,0.0,955,29,575,0.6021,0,0,0,RUNNING,0,,64;37;36;39;41;39;37;35;39;40;42;45;43;38
6936,16,6936,0.0,1269,45,545,0.4295,0,0,0,RUNNING,0,,58;23;13;22;25;26;33;39;47;49;57;58;53;42
7030,17,7030,0.0,632,48,407,0.6440,0,0,0,RUNNING,0,,61;31;26;21;19;13;15;19;22;28;38;41;43;30
7061,18,7061,0.0,775,74,423,0.5458,0,0,0,RUNNING,0,,90;42;26;27;26;26;25;20;16;23;25;25;26;26
7155,19,7155,0.0,1250,52,638,0.5104,0,0,0,RUNNING,0,,58;24;16;23;26;33;47;58;60;65;68;62;58;40
7249,20,7249,0.0,833,84,611,0.7335,1,0,0,RUNNING,0,,57;14;3;7;10;27;49;71;79;87;77;61;41;28
7280,21,7280,0.0,850,81,653,0.7682,1,0,0,RUNNING,0,,90;36;17;9;17;26;41;56;68;68;68;58;53;46
7374,22,7374,0.0,1205,144,802,0.6656,1,0,0,RUNNING,0,,61;25;17;32;57;85;111;121;111;90;52;8;-23;-9
8500,23,8500,0.0,1167,48,506,0.4336,0,0,0,RUNNING,0,,58;20;10;12;16;23;27;35;46;49;55;58;57;40
8531,24,8531,0.0,429,77,499,1.1632,0,0,0,RUNNING,0,,90;35;21;18;13;13;22;21;33;41;46;53;49;44
8625,25,8625,0.0,1142,46,442,0.3870,0,0,0,RUNNING,0,,71;35;26;27;29;31;31;29;25;26;27;26;28;31
8719,26,8719,0.0,1132,71,651,0.5751,0,0,0,RUNNING,0,,53;13;8;17;18;29;42;58;74;77;79;75;63;45
8750,27,8750,0.0,506,74,619,1.2233,0,0,0,RUNNING,0,,77;29;10;3;11;23;32;52;68;69;74;65;58;48
8813,28,8813,0.0,440,63,572,1.3000,0,0,0,RUNNING,0,,58;21;10;8;10;25;35;47;58;68;71;61;57;43
8844,29,8844,0.0,1171,55,603,0.5149,0,0,0,RUNNING,0,,74;31;19;21;26;33;42;49;52;58;61;57;43;37
8938,30,8938,0.0,1147,93,778,0.6783,1,0,0,RUNNING,0,,58;25;20;26;44;71;90;103;101;91;69;45;25;10
8969,31,8969,0.0,528,125,805,1.5246,1,0,0,RUNNING,0,,75;26;7;17;36;65;103;121;122;107;75;39;9;-3
9032,32,9032,0.0,458,142,925,2.0197,1,0,0,RUNNING,0,,58;20;9;22;45;85;121;147;151;122;75;41;20;9
9063,33,9063,0.0,1181,214,1430,1.2108,1,0,0,RUNNING,0,,78;29;5;21;55;97;153;196;219;211;173;119;58;16
10095,34,10095,0.0,902,39,544,0.6031,0,0,0,RUNNING,0,,64;43;40;37;35;29;27;27;25;26;40;47;57;47
10189,35,10189,0.0,1254,37,533,0.4250,0,0,0,RUNNING,0,,60;32;26;30;26;32;37;45;55;52;47;40;28;23
10283,36,10283,0.0,979,44,453,0.4627,0,0,0,RUNNING,0,,49;19;5;7;17;25;28;33;39;41;48;45;48;49
10314,37,10314,0.0,710,64,655,0.9225,0,0,0,RUNNING,0,,74;29;15;12;20;24;32;48;57;69;76;74;67;58
10408,38,10408,0.0,1268,214,1146,0.9038,1,0,0,RUNNING,0,,74;39;23;26;60;92;134;164;180;160;106;50;4;-34
10502,39,10502,0.0,971,573,2360,2.4305,1,0,0,RUNNING,0,,52;2;-6;45;119;218;317;393;405;327;190;37;-81;-168
10533,40,10533,0.0,747,1154,4063,5.4391,1,0,0,RUNNING,0,,74;17;-19;47;163;314;491;649;703;568;307;-3;-257;-451
10572,41,10572,0.0,644,1191,4328,6.7205,1,0,0,RUNNING,0,,696;539;250;-70;-335;-495;-476;-395;-311;-230;-164;-134;-122;-111
10603,42,10603,0.0,728,1348,4952,6.8022,1,0,0,RUNNING,0,,757;584;268;-100;-447;-591;-550;-469;-375;-267;-182;-134;-124;-104
10634,43,10634,0.0,792,1501,5305,6.6982,1,0,0,RUNNING,0,,817;618;251;-191;-577;-684;-614;-486;-351;-239;-164;-123;-105;-85
10665,44,10665,0.0,749,1439,5114,6.8278,1,0,0,RUNNING,0,,793;617;268;-180;-550;-646;-580;-469;-340;-230;-152;-117;-99;-73
10696,45,10696,0.0,768,1597,5642,7.3464,1,0,0,RUNNING,0,,858;714;346;-150;-609;-739;-647;-515;-375;-239;-163;-119;-95;-73
11753,46,11753,0.0,1284,53,503,0.3917,0,0,0,RUNNING,0,,48;13;5;12;26;26;31;41;47;57;58;58;45;36
11847,47,11847,0.0,758,45,460,0.6069,0,0,0,RUNNING,0,,61;32;26;19;16;16;19;26;27;38;43;45;46;46
11878,48,11878,0.0,1096,47,476,0.4343,0,0,0,RUNNING,0,,72;38;27;31;26;25;26;26;26;28;30;35;44;42
11972,49,11972,0.0,1295,48,736,0.5683,0,0,0,RUNNING,0,,58;30;27;31;39;56;66;73;75;73;65;58;52;33
12066,50,12066,0.0,511,124,782,1.5303,1,0,0,RUNNING,0,,58;26;13;25;45;72;106;124;121;90;53;29;20;0
12097,51,12097,0.0,950,273,1508,1.5874,1,0,0,RUNNING,0,,87;37;12;29;67;116;172;219;245;221;159;91;25;-28
12138,52,12138,0.0,459,563,2340,5.0980,1,0,0,RUNNING,0,,266;73;-102;-218;-293;-297;-246;-201;-165;-121;-101;-91;-86;-80
12167,53,12167,0.0,591,1222,5048,8.5415,1,0,0,RUNNING,0,,704;649;452;163;-145;-401;-518;-504;-443;-375;-267;-182;-134;-111
12198,54,12198,0.0,680,1392,5229,7.6897,1,0,0,RUNNING,0,,778;688;417;42;-316;-579;-614;-530;-424;-305;-207;-134;-102;-93
12229,55,12229,0.0,745,1537,5592,7.5060,1,0,0,RUNNING,0,,852;730;412;-24;-457;-685;-667;-550;-416;-291;-185;-128;-104;-91
12260,56,12260,0.0,736,1572,5648,7.6739,1,0,0,RUNNING,0,,857;751;425;-56;-518;-715;-658;-529;-393;-260;-171;-127;-102;-86
12291,57,12291,0.0,714,1588,5637,7.8950,1,0,0,RUNNING,0,,855;763;428;-52;-544;-733;-650;-510;-375;-240;-163;-127;-102;-95
12322,58,12322,0.0,649,1576,5581,8.5994,1,0,0,RUNNING,0,,841;780;475;-23;-536;-735;-651;-504;-344;-224;-147;-116;-103;-102
13335,59,13335,0.0,445,891,5597,12.5775,1,0,0,RUNNING,0,,378;282;182;78;74;165;249;320;444;583;711;254;965;912
13364,60,13364,0.0,504,773,3531,7.0060,1,0,0,RUNNING,0,,598;593;549;458;320;155;1;-120;-175;-112;-21;56;125;248
13424,61,13424,0.0,454,752,3120,6.8722,1,0,0,RUNNING,0,,-387;-309;-221;-106;-53;84;233;291;365;360;316;248;41;-106
13661,62,13661,0.0,576,370,1528,2.6528,1,0,0,RUNNING,0,,-21;124;122;105;90;75;64;56;47;39;-164;-246;-229;-146
13757,63,13757,0.0,642,727,5721,8.9112,1,0,0,RUNNING,0,,-690;-751;-758;-693;-591;-456;-310;-125;-47;-31;-69;-216;-403;-581
13785,64,13785,0.0,774,631,3796,4.9044,1,0,0,RUNNING,0,,597;378;196;55;-18;8;42;100;195;205;329;522;613;538
20805,65,20805,0.0,536,797,3931,7.3340,1,0,0,RUNNING,0,,-598;-601;-593;-486;-407;-295;-138;-25;73;186;196;156;77;-100
20837,66,20837,0.0,820,1060,5761,7.0256,1,0,0,RUNNING,0,,-1037;-1173;-725;-511;-422;-354;-309;-262;-228;-195;-165;-140;-127;-113
21543,67,21543,0.0,1283,46,507,0.3952,0,0,0,RUNNING,0,,72;36;31;30;27;27;26;26;31;37;43;47;39;35
